county,city,zip,street,price,br,lsqft,bsqft,year,date
Alameda County,Albany,94706,913 Adams Street \#A,715000,3,NA,1454,2004,2006-05-14
Alameda County,Albany,94706,914 San Pablo Avenue \#D,796000,3,NA,2654,2004,2006-10-15
Alameda County,Albany,94706,916 San Pablo Avenue \#D,803000,3,NA,2654,2004,2006-07-30
Alameda County,Berkeley,94702,1205 Haskell Street,490000,3,6100,1070,2003,2005-07-10
Alameda County,Berkeley,94702,1213 Francisco Street,490000,3,4800,2038,2003,2004-04-25
Alameda County,Berkeley,94702,1326 Curtis Street,240000,3,2500,836,2001,2003-06-22
Alameda County,Berkeley,94702,1326 Curtis Street,378000,3,2500,836,2001,2003-09-14
Alameda County,Berkeley,94702,1406 San Pablo Avenue,502500,1,NA,965,2006,2008-06-22
Alameda County,Berkeley,94702,1406 San Pablo Avenue,535000,2,NA,1175,2006,2008-05-18
Alameda County,Berkeley,94702,1406 San Pablo Avenue,535000,2,NA,1175,2006,2008-05-25
Alameda County,Berkeley,94702,2122 Sacramento Street,750000,3,5580,1299,2002,2004-02-01
Alameda County,Berkeley,94703,1535 Prince Street,618000,NA,4500,1103,2003,2004-12-05
Alameda County,Berkeley,94703,1706 Parker Street,645000,3,3600,1516,2001,2005-05-15
Alameda County,Berkeley,94703,1728 Delaware Street,750000,3,6750,2285,2002,2005-02-27
Alameda County,Berkeley,94703,1885 Harmon Street,700000,NA,4689,2634,2003,2005-06-12
Alameda County,Berkeley,94703,2000 Woolsey Street,300000,3,4200,1643,2003,2003-04-27
Alameda County,Berkeley,94703,2219 McKinley Avenue,450000,5,5200,1692,2003,2004-06-20
Alameda County,Berkeley,94703,2901 Otis Street,525000,3,5015,1193,2002,2005-12-18
Alameda County,Berkeley,94703,2915 Otis Street,600000,3,NA,1677,2003,2005-06-05
Alameda County,Berkeley,94703,3004 Martin Luther King Jr Way,350000,5,3198,1828,2003,2003-07-20
Alameda County,Berkeley,94703,3026 Martin Luther King Jr Way,450000,3,6100,1728,2001,2004-10-31
Alameda County,Berkeley,94703,3026 Martin Luther King Jr Way,650000,3,6100,1728,2001,2005-07-17
Alameda County,Berkeley,94703,3109 Ellis Street,715000,5,5400,1710,2002,2005-07-10
Alameda County,Berkeley,94703,3112 Ellis Street \#1,455000,3,NA,1272,2002,2004-05-09
Alameda County,Berkeley,94703,3112 Ellis Street \#1,529000,3,NA,1272,2002,2006-02-19
Alameda County,Berkeley,94704,1907 Parker Street,730000,3,3600,2094,2003,2004-06-27
Alameda County,Berkeley,94704,2430 Fulton Street,1250000,NA,7500,2547,2001,2005-02-20
Alameda County,Berkeley,94704,2430 Fulton Street,540000,NA,7500,2547,2001,2004-01-11
Alameda County,Berkeley,94704,2624 Hillegass Avenue,750000,3,7950,1742,2003,2003-08-03
Alameda County,Berkeley,94705,2106 Russell Street,308000,1,1554,744,2002,2003-11-30
Alameda County,Berkeley,94705,2709 Dana Street,695000,NA,3859,1601,2003,2004-10-24
Alameda County,Berkeley,94705,3087 Wheeler Street,415000,2,2500,965,2002,2004-11-14
Alameda County,Berkeley,94705,75 Vicente Road,1695000,3,12240,2406,2000,2006-09-24
Alameda County,Berkeley,94707,909 Santa Barbara Road,1325000,3,5222,2130,2005,2007-08-05
Alameda County,Berkeley,94708,1185 Glen Avenue,1180000,3,6075,2752,2003,2008-09-21
Alameda County,Berkeley,94708,1185 Glen Avenue,1550000,3,6075,2752,2003,2006-05-28
Alameda County,Berkeley,94708,1373 Campus Drive,1125000,3,9562,2443,2001,2008-06-01
Alameda County,Berkeley,94708,1373 Campus Drive,1125000,3,9562,2443,2001,2008-06-08
Alameda County,Berkeley,94708,161 Avenida Drive,1925000,4,6955,3504,2003,2007-07-08
Alameda County,Berkeley,94709,1312 Oxford Street,840000,4,5400,1756,2002,2006-01-15
Alameda County,Berkeley,94709,1427 Walnut Street,1025000,3,4455,1817,2003,2005-04-24
Alameda County,Berkeley,94709,1584 Milvia Street,450000,5,4026,1842,2001,2003-07-06
Alameda County,Berkeley,94709,2007 Delaware Street,768000,4,4392,2572,2002,2005-10-23
Alameda County,Berkeley,94709,2043 Lincoln Street,750000,4,5520,1703,2003,2003-08-10
Alameda County,Berkeley,94709,2211 Rose Street,280000,2,5120,1252,2002,2005-02-27
Alameda County,Berkeley,94710,1030 Addison Street,438000,5,4972,1616,2002,2004-06-13
Alameda County,Berkeley,94710,1030 Addison Street,750000,5,4972,1616,2002,2005-03-13
Alameda County,Berkeley,94710,1472 10th Street,595000,3,4680,1248,2003,2006-11-19
Alameda County,Berkeley,94710,2010 10th Street,439000,3,2405,1849,2003,2004-02-08
Alameda County,Berkeley,94710,2208 7th Street,643000,3,6406,1844,2002,2004-01-04
Alameda County,Berkeley,94710,2211 5th Street,1025000,2,NA,1374,2005,2007-08-12
Alameda County,Berkeley,94710,921 Bancroft Way,410000,3,3500,1696,2001,2003-05-25
Alameda County,Berkeley,94710,921 Bancroft Way,492000,3,3500,1696,2001,2005-12-25
Alameda County,Castro Valley,94546,17320 Cardinal Court,1160000,3,12880,2835,2005,2006-10-29
Alameda County,Castro Valley,94546,17435 Cardinal Court,1220000,4,14900,3255,2006,2008-07-20
Alameda County,Castro Valley,94546,17440 Cardinal Court,1377000,4,12438,3255,2005,2006-09-03
Alameda County,Castro Valley,94546,17480 Cardinal Court,950000,4,16130,3255,2006,2008-05-11
Alameda County,Castro Valley,94546,17515 Cardinal Court,1250000,4,14934,3081,2005,2006-11-12
Alameda County,Castro Valley,94546,18006 Reamer Road,1050000,5,10014,3589,2001,2004-05-09
Alameda County,Castro Valley,94546,18018 Almond Road,830000,5,8256,3809,2005,2006-08-20
Alameda County,Castro Valley,94546,18245 Lake Chabot Road,775000,3,11824,1990,2001,2007-08-05
Alameda County,Castro Valley,94546,19134 Silver Fox Place,1035000,4,8273,3011,2000,2006-02-19
Alameda County,Castro Valley,94546,20228 West Ridge Court,692000,4,7142,NA,2001,2003-06-15
Alameda County,Castro Valley,94546,20252 West Ridge Court,730000,4,7052,2575,2001,2004-04-18
Alameda County,Castro Valley,94546,20252 West Ridge Court,800000,4,7052,2575,2001,2005-09-11
Alameda County,Castro Valley,94546,20261 West Ridge Court,630000,4,5214,2163,2001,2004-01-04
Alameda County,Castro Valley,94546,2266 174th Avenue,650000,4,6549,2468,2005,2008-08-03
Alameda County,Castro Valley,94546,2850 Eugene Terrace,1065000,3,15070,4161,2007,2008-08-24
Alameda County,Castro Valley,94546,2890 Eugene Terrace,1035000,3,12665,2829,2002,2005-05-15
Alameda County,Castro Valley,94546,2890 Eugene Terrace,975000,3,12665,2829,2002,2005-02-06
Alameda County,Castro Valley,94546,3120 Huntington Court,1195000,4,35218,3154,2003,2005-11-06
Alameda County,Castro Valley,94546,3250 Hertlein Place,785000,4,7490,2389,2000,2006-12-24
Alameda County,Castro Valley,94546,3610 Christensen Lane,890000,4,8973,2809,2004,2007-09-16
Alameda County,Castro Valley,94546,4514 Heyer Avenue,598000,4,7376,2355,2001,2003-11-02
Alameda County,Castro Valley,94546,4514 Heyer Avenue,598000,4,7376,2355,2001,2003-11-23
Alameda County,Castro Valley,94546,5125 Madison Lane \#4,638000,4,13000,2012,2000,2008-02-03
Alameda County,Castro Valley,94552,18410 Buren Place,698000,4,3166,1887,2003,2005-01-23
Alameda County,Castro Valley,94552,18460 Buren Place,775000,4,3786,1887,2003,2006-04-30
Alameda County,Castro Valley,94552,18525 Buren Place,610000,4,3273,2251,2003,2008-06-01
Alameda County,Castro Valley,94552,18525 Buren Place,610000,4,3273,2251,2003,2008-06-08
Alameda County,Castro Valley,94552,18535 Buren Place,661000,3,2727,1785,2003,2007-06-17
Alameda County,Castro Valley,94552,18535 Buren Place,750000,3,2727,1785,2003,2005-08-21
Alameda County,Castro Valley,94552,18625 Buren Place,590000,3,2963,1785,2003,2008-07-06
Alameda County,Castro Valley,94552,18695 Buren Place,755000,4,3772,2251,2003,2006-10-29
Alameda County,Castro Valley,94552,18720 Buren Place,650000,4,4142,1887,2003,2004-08-22
Alameda County,Castro Valley,94552,18840 Buren Place,720000,3,4465,1887,2002,2005-05-29
Alameda County,Castro Valley,94552,19020 Buren Place,632500,3,4897,2251,2002,2004-03-07
Alameda County,Castro Valley,94552,19230 Buren Place,552500,3,3464,1785,2000,2008-10-12
Alameda County,Castro Valley,94552,19540 Buren Place,530000,3,2601,1785,2002,2003-10-26
Alameda County,Castro Valley,94552,19555 Buren Place,745000,3,3589,1785,2002,2006-06-04
Alameda County,Castro Valley,94552,19675 Buren Place,700000,4,4616,2251,2002,2004-09-19
Alameda County,Castro Valley,94552,20018 Jensen Ranch Road,970000,4,6709,2453,2000,2007-06-10
Alameda County,Castro Valley,94552,21305 Highland Drive,770000,4,3340,1900,2006,2006-09-17
Alameda County,Castro Valley,94552,21331 Highland Drive,719000,4,3340,1900,2006,2007-03-25
Alameda County,Castro Valley,94552,22275 West Lyndon Loop,614000,4,3425,2240,2000,2008-07-06
Alameda County,Castro Valley,94552,22312 Princeton Place,720000,4,6857,2278,2000,2008-11-16
Alameda County,Castro Valley,94552,22362 Princeton Place,920000,4,7783,2278,2000,2006-05-07
Alameda County,Castro Valley,94552,22432 Princeton Place,807000,4,5344,2278,2000,2007-12-23
Alameda County,Castro Valley,94552,22530 Princeton Place,900000,3,4919,2082,2000,2006-05-07
Alameda County,Castro Valley,94552,22552 Princeton Place,825000,4,5958,2278,2000,2008-01-27
Alameda County,Castro Valley,94552,22559 Canyon Terrace Drive,815000,5,14469,2507,2002,2004-07-11
Alameda County,Castro Valley,94552,22559 Canyon Terrace Drive,899000,5,14469,2507,2002,2007-01-21
Alameda County,Castro Valley,94552,22626 Princeton Place,870000,4,4554,2278,2000,2007-06-17
Alameda County,Castro Valley,94552,25515 Crestfield Circle,1125000,5,10607,2992,2000,2007-03-04
Alameda County,Castro Valley,94552,25657 Crestfield Drive,1100000,6,12372,3526,2000,2006-12-24
Alameda County,Castro Valley,94552,25668 Crestfield Drive,925000,5,16509,2992,2000,2008-06-15
Alameda County,Castro Valley,94552,4485 Old Dublin Road,615000,5,56073,2480,2003,2003-08-24
Alameda County,Castro Valley,94552,4640 Crow Canyon Place,2075000,5,19164,6172,2005,2006-12-10
Alameda County,Castro Valley,94552,4640 Crow Canyon Place,2075000,5,19164,6172,2005,2007-02-04
Alameda County,Castro Valley,94552,5167 Stone Canyon Drive,921500,4,7959,2334,2000,2006-05-07
Alameda County,Castro Valley,94552,5172 Stone Canyon Drive,830000,4,5670,2334,2000,2006-12-31
Alameda County,Castro Valley,94552,5319 Pacific Terrace Court,975000,4,7211,2605,2000,2006-02-19
Alameda County,Castro Valley,94552,5325 Crestfield Court,1025000,4,7306,2605,2000,2007-05-27
Alameda County,Castro Valley,94552,5763 Jensen Road,1500000,5,43891,4356,2002,2006-08-06
Alameda County,Castro Valley,94552,7245 Lamar Loop,785000,3,3425,1785,2002,2006-06-18
Alameda County,Castro Valley,94552,7246 Morton Place,770000,4,3772,2251,2003,2006-12-03
Alameda County,Castro Valley,94552,7250 Morton Place,655000,4,3557,2251,2003,2008-08-03
Alameda County,Castro Valley,94552,7251 Morton Place,795000,4,4087,2251,2003,2005-12-04
Alameda County,Castro Valley,94552,7259 Morton Place,678000,3,3115,1550,2003,2006-06-18
Alameda County,Castro Valley,94552,7285 Lamar Loop,875000,3,6715,2251,2002,2005-12-18
Alameda County,Castro Valley,94552,7289 Longmont Loop,590000,3,3246,1785,2001,2004-05-09
Alameda County,Castro Valley,94552,7291 Longmont Loop,651500,3,3139,1550,2000,2007-01-21
Alameda County,Castro Valley,94552,7299 Longmont Loop,619000,3,3541,1550,2001,2004-11-28
Alameda County,Castro Valley,94552,7303 Longmont Loop,810000,4,4200,2251,2000,2006-04-02
Alameda County,Castro Valley,94552,7311 Longmont Loop,790000,4,5273,2251,2002,2007-09-02
Alameda County,Castro Valley,94552,7311 Longmont Loop,804000,4,5273,2251,2002,2005-10-02
Alameda County,Castro Valley,94552,7320 Greenville Place,685000,3,3584,1550,2000,2006-04-16
Alameda County,Castro Valley,94552,7325 Longmont Loop,680000,2,2522,1550,2002,2005-12-04
Alameda County,Castro Valley,94552,7336 Longmont Loop,729000,3,3549,1887,2002,2005-09-18
Alameda County,Castro Valley,94552,7337 Longmont Loop,752000,3,3334,1887,2002,2006-04-02
Alameda County,Castro Valley,94552,7338 Longmont Loop,565000,2,2997,1550,2002,2008-07-13
Alameda County,Castro Valley,94552,7349 Longmont Loop,550000,3,2622,1785,2002,2004-03-21
Alameda County,Castro Valley,94552,7349 Longmont Loop,550000,3,2622,1785,2002,2004-03-28
Alameda County,Castro Valley,94552,7349 Longmont Loop,729000,3,2622,1785,2002,2005-10-16
Alameda County,Castro Valley,94552,7743 Coolidge Court,925000,5,8066,2884,2001,2004-06-06
Alameda County,Castro Valley,94552,7759 Coolidge Court,830000,4,6535,2697,2001,2004-02-29
Alameda County,Castro Valley,94552,7772 Coolidge Court,820000,5,7117,2884,2001,2003-08-31
Alameda County,Dublin,94568,11030 Inspiration Circle,1425000,3,8409,4082,2000,2007-11-11
Alameda County,Dublin,94568,2715 North Kilbride Lane,990000,4,4124,2801,2003,2006-01-08
Alameda County,Dublin,94568,2725 East Cog Hill Terrace,1930000,4,10710,4682,2005,2006-07-02
Alameda County,Dublin,94568,2730 North Kilbride Lane,1080000,4,4985,2930,2003,2005-08-28
Alameda County,Dublin,94568,2730 North Kilbride Lane,855000,4,4985,2930,2003,2008-01-06
Alameda County,Dublin,94568,2732 South Kilbride Lane,1037000,4,4265,2690,2002,2005-12-18
Alameda County,Dublin,94568,2734 East Sugar Hill Terrace,1581000,4,6920,4655,2004,2007-06-17
Alameda County,Dublin,94568,2735 Eagles Landing Court,1049000,4,6110,2801,2003,2006-04-02
Alameda County,Dublin,94568,2735 Eagles Landing Court,800000,4,6110,2801,2003,2008-08-24
Alameda County,Dublin,94568,2738 Highlands Meadows Court,1615000,6,10314,4651,2004,2006-09-24
Alameda County,Dublin,94568,2772 South Kilbride Lane,925000,4,4296,2930,2002,2004-05-09
Alameda County,Dublin,94568,2775 East Sugar Hill Terrace,1225000,4,8524,5115,2004,2008-08-24
Alameda County,Dublin,94568,2780 South Kilbride Lane,940000,4,5128,3105,2002,2004-05-02
Alameda County,Dublin,94568,2786 Poppy Hills Court,840000,4,6429,3612,2003,2004-06-13
Alameda County,Dublin,94568,2789 East Sugar Hill Terrace,1090000,6,8598,5277,2004,2008-10-26
Alameda County,Dublin,94568,2790 Southwind Lane,1400000,5,5860,3603,2003,2006-02-26
Alameda County,Dublin,94568,2800 Lochgreen Way,1650000,6,10683,4662,2004,2006-11-05
Alameda County,Dublin,94568,2801 East Castle Pines Terrace,1250000,6,12891,5017,2004,2008-07-20
Alameda County,Dublin,94568,2802 Southwind Lane,1020000,4,5200,4027,2003,2008-05-11
Alameda County,Dublin,94568,2823 East Sugar Hill Terrace,1550000,5,8287,5205,2004,2006-11-19
Alameda County,Dublin,94568,2828 Lochgreen Way,1650000,6,8063,4690,2004,2006-01-22
Alameda County,Dublin,94568,2837 East Castle Pines Terrace,1110000,4,7218,4514,2004,2008-06-01
Alameda County,Dublin,94568,2837 East Castle Pines Terrace,1110000,4,7218,4514,2004,2008-06-08
Alameda County,Dublin,94568,2850 Southwind Lane,1240000,5,5200,3603,2003,2007-07-22
Alameda County,Dublin,94568,2851 Southwind Lane,910000,4,5200,3612,2003,2008-10-26
Alameda County,Dublin,94568,2857 Poppy Hills Lane,1275000,4,6459,4027,2003,2005-11-27
Alameda County,Dublin,94568,2863 Southwind Lane,1270000,5,5200,3603,2003,2006-06-25
Alameda County,Dublin,94568,2870 Sable Oaks Way,1100000,6,6913,5017,2004,2008-08-17
Alameda County,Dublin,94568,2882 Sable Oaks Way,1405000,5,6540,4956,2004,2007-08-12
Alameda County,Dublin,94568,2887 Southwind Lane,1448000,5,5200,3603,2003,2005-09-04
Alameda County,Dublin,94568,2903 West Sugar Hill Terrace,705000,4,7586,3920,2005,2008-11-02
Alameda County,Dublin,94568,2913 West Castle Pines Terrace,1190000,5,9612,3595,2005,2007-06-17
Alameda County,Dublin,94568,2938 West Castle Pines Terrace,880000,4,5790,3980,2005,2008-10-12
Alameda County,Dublin,94568,2980 Innisbrook Way,1135000,4,5462,3883,2005,2006-11-19
Alameda County,Dublin,94568,3100 Colebrook Lane,1159000,5,5604,3714,2000,2007-05-27
Alameda County,Dublin,94568,3117 South Bridgepointe Lane,1125000,5,6766,3714,2000,2007-09-02
Alameda County,Dublin,94568,3129 South Bridgepointe Lane,1220000,6,6908,3824,2000,2006-06-04
Alameda County,Dublin,94568,3138 South Bridgepointe Lane,1085000,4,6685,3101,2000,2006-08-06
Alameda County,Dublin,94568,3160 South Bridgepointe Lane,925000,5,6003,3411,2000,2008-10-19
Alameda County,Dublin,94568,3210 Madden Way,900000,5,6028,3801,2006,2008-11-16
Alameda County,Dublin,94568,3227 South Bridgepointe Lane,855000,4,7344,2909,2000,2008-01-06
Alameda County,Dublin,94568,3227 South Bridgepointe Lane,855000,4,7344,2909,2000,2008-03-16
Alameda County,Dublin,94568,3227 South Bridgepointe Lane,855000,4,7344,2909,2000,2008-04-06
Alameda County,Dublin,94568,3229 Colebrook Lane,1125000,6,6115,3824,2000,2007-01-21
Alameda County,Dublin,94568,3240 Maguire Way \#108,585000,2,NA,1298,2004,2006-08-13
Alameda County,Dublin,94568,3240 Maguire Way \#110,387000,2,NA,1298,2004,2008-10-26
Alameda County,Dublin,94568,3240 Maguire Way \#116,265000,1,NA,840,2004,2006-05-14
Alameda County,Dublin,94568,3240 Maguire Way \#200,620500,3,NA,1246,2004,2006-03-12
Alameda County,Dublin,94568,3240 Maguire Way \#204,388000,2,NA,1124,2004,2008-06-15
Alameda County,Dublin,94568,3240 Maguire Way \#204,640000,2,NA,1124,2004,2006-12-10
Alameda County,Dublin,94568,3240 Maguire Way \#216,260000,1,NA,840,2004,2006-04-23
Alameda County,Dublin,94568,3240 Maguire Way,265000,1,NA,840,2004,2006-04-16
Alameda County,Dublin,94568,3240 Maguire Way \#400,587000,3,NA,1246,2004,2006-10-08
Alameda County,Dublin,94568,3240 Maguire Way \#414,370000,2,NA,1298,2004,2008-10-19
Alameda County,Dublin,94568,3245 Dublin Boulevard \#103,500000,3,NA,1246,2004,2007-06-24
Alameda County,Dublin,94568,3245 Dublin Boulevard \#229,380000,2,NA,1066,2004,2007-12-02
Alameda County,Dublin,94568,3245 Dublin Boulevard \#328,380000,2,NA,1066,2004,2008-02-17
Alameda County,Dublin,94568,3245 Dublin Boulevard \#406,495000,2,NA,1298,2004,2006-12-24
Alameda County,Dublin,94568,3261 Monaghan Street,400000,2,NA,1292,2006,2008-08-24
Alameda County,Dublin,94568,3267 Monaghan Street,696000,3,NA,2025,2003,2006-05-28
Alameda County,Dublin,94568,3269 Monaghan Street,658000,2,NA,1519,2003,2005-10-30
Alameda County,Dublin,94568,3273 Monaghan Street,580000,3,NA,1897,2003,2007-02-18
Alameda County,Dublin,94568,3273 Monaghan Street,580000,3,NA,1897,2003,2007-02-25
Alameda County,Dublin,94568,3275 Dublin Boulevard \#104,540000,2,NA,1066,2004,2006-06-11
Alameda County,Dublin,94568,3275 Dublin Boulevard \#108,360000,2,NA,1124,2004,2008-06-01
Alameda County,Dublin,94568,3275 Dublin Boulevard \#108,360000,2,NA,1124,2004,2008-06-08
Alameda County,Dublin,94568,3275 Dublin Boulevard \#110,265500,1,NA,840,2004,2006-11-26
Alameda County,Dublin,94568,3275 Dublin Boulevard \#112,468000,2,NA,1298,2004,2006-11-26
Alameda County,Dublin,94568,3275 Dublin Boulevard \#116,480000,2,NA,1298,2004,2006-11-12
Alameda County,Dublin,94568,3275 Dublin Boulevard \#206,347000,2,NA,1066,2004,2008-11-02
Alameda County,Dublin,94568,3275 Dublin Boulevard \#207,392000,2,NA,1066,2004,2007-12-30
Alameda County,Dublin,94568,3275 Dublin Boulevard \#225,543000,2,NA,1066,2004,2006-06-18
Alameda County,Dublin,94568,3275 Dublin Boulevard \#227,266500,1,NA,840,2004,2007-03-25
Alameda County,Dublin,94568,3275 Dublin Boulevard \#303,583000,3,NA,1246,2004,2006-04-09
Alameda County,Dublin,94568,3275 Dublin Boulevard \#304,500000,2,NA,1066,2004,2007-04-29
Alameda County,Dublin,94568,3275 Dublin Boulevard \#308,543000,2,NA,1124,2004,2006-06-11
Alameda County,Dublin,94568,3275 Dublin Boulevard \#405,270500,1,NA,840,2004,2007-03-04
Alameda County,Dublin,94568,3275 Dublin Boulevard \#406,545500,2,NA,1066,2004,2006-05-28
Alameda County,Dublin,94568,3275 Dublin Boulevard \#412,495000,2,NA,1298,2004,2007-04-01
Alameda County,Dublin,94568,3275 Dublin Boulevard \#414,560000,2,NA,1298,2004,2006-10-01
Alameda County,Dublin,94568,3275 Dublin Boulevard \#416,483000,2,NA,1298,2004,2006-10-29
Alameda County,Dublin,94568,3275 Dublin Boulevard \#428,475000,2,NA,1298,2004,2007-05-20
Alameda County,Dublin,94568,3275 Dublin Boulevard \#430,502500,3,NA,1246,2004,2006-12-03
Alameda County,Dublin,94568,3275 Dublin Boulevard \#430,502500,3,NA,1246,2004,2007-02-04
Alameda County,Dublin,94568,3275 Monaghan Street,610000,2,NA,1519,2003,2006-03-12
Alameda County,Dublin,94568,3277 Monaghan Street,445000,2,NA,1568,2003,2008-07-06
Alameda County,Dublin,94568,3285 Monaghan Street,512500,3,NA,2025,2003,2008-05-18
Alameda County,Dublin,94568,3285 Monaghan Street,512500,3,NA,2025,2003,2008-05-25
Alameda County,Dublin,94568,3285 Monaghan Street,680000,3,NA,2025,2003,2005-12-11
Alameda County,Dublin,94568,3287 Monaghan Street,440000,2,NA,1519,2003,2008-08-10
